pap_id,sci_name,other_name,native_place,general,shoot,leaf,flower,bloom,nature
1,Paphiopedilum concolor,รองเท้านารีเหลืองปราจีน เหลืองกาญจน์ เหลืองอุดร,มีการกระจายพันธุ์ในพม่า เวียดนาม กัมพูชา และไทย ในจังหวัดสระบุรี อุดรธานี ปราจีนบุรี นครนายก จันทบุรี กาญจนบุรี และประจวบคีรีขันธ์ ซึ่งสูงจากระดับน้ำทะเล 300-1000 เมตร,มีการเจริญเติบโตแบบพืชอาศัยบนดิน และพืชอิงอาศัยบ้าง,มีพุ่มใบขนาด 15-18 ซม.,รูปขอบขนาน แผ่นใบเป็นรายตารางสีเขียวเข้มสลับเขียวเทา,ออกเป็นช่อ หรือดอกเดี่ยว มี 1-2 ดอกต่อช่อ และมีขนนุ่มปกคลุมบนกาบรองและก้านช่อดอก เมื่อดอกบานเต็มที่ค่อนข้างกลม มีขนาด 6-9 ซม. กลีบดอกหนาและงุ้มงอมาด้านหน้า ส่วนกลีบนอกบน กลีบดอก กระเป๋า และโล่มีสีเหลือง และมีจุดสีม่วงแดงกระจายทั่ว โล่มีรูปทรงเป็นรูปหัวใจ ขนาด 1 ซม. ด้านบนหยักเป็นร่องลึก ด้านล่างหยักเป็นซี่ฟันเล็กๆ,เมื่อต้นสมบูรณ์เต็มที่,แข็งแรง ปลูกเลี้ยงง่าย สามารถปรับตัวให้เข้ากับสภาพแวดล้อมได้ดี และเจริญเติบโตได้ในที่ที่มีอุณหภูมิสูงกว่า 28 องศาเซลเซียส แต่ระบบรากอ่อนแอ่ ต่อปริมาณเกลือที่สะสมในเครื่องปลูก ถ้าได้รับแสงค่อนข้างมากจะให้ดอกดก แต่มีสีซีดกว่าเมื่อปลูกในแสงรำไร
2,Paphiopedilum bellatulum,"รองเท้านารีฝาหอย  
เอื้องอึ่ง(แพร่)
",มีการเจริญเติบโตแบบพืชอาศัยบนดิน,มีการเจริญเติบโตแบบพืชอาศัยบนดิน,เล็กแคระ มีพุ่มใบขนาด 10 - 12 ซม.,รูปรีแกมรูปขอบขนาน กว้าง 3 - 4.5 ซม. ยาว 13 - 15 ซม. แผ่นใบหนาเป็นลายตารางสีเขียวเข้มสลับสีเขียวเทา ใต้ใบมีจุดสีม่วงเล็กกระจายทั่วไป,เป็นดอกเดี่ยว มี 1 - 3 ดอกต่อต้น ก้านดอกสั้นตั้งตรงสีม่วงแดงยาว 3 - 7 ซม. เมื่อดอกบานเต็มที่เป็นรูปกลมเส้นผ่าศูนย์กลางขนาด 5.5 - 7 ซม. และงุ้มมาด้านหน้า ส่วนกลีบนอกบน กลีบดอกและกระเป๋าและโล่สีขาว มีจุดและแต้มสีม่วงแดงกระจายทั่ว รูปทรงคล้ายรูปหัวใจกลับขนาด 1 ซม. กึ่งกลางเป็นร่องและมีแต้มสีเหลือง,"กุมภาพันธ์- กรกฎาคม
นอกจากนี้ยังมีรองเท้านารีฝาหอยยังมีความแปรผันของลักษณะดอกเกิดขึ้นได้อีก คือ  รองเท้านารีฝาหอยเผือก  ให้ดอกสีขาวนวลที่ไม่มีจุดสีม่วงแดงบนดอกเลย",ชอบอากาศเย็นและระบบรากไวต่อปริมาณเกลือแร่ในเครื่องปลูก ควรปลูกในสภาพอากาศแห้งและเย็น ออกดอกยาก ขึ้นอยู่กับความสมบูรณ์ของต้น ถ้านำมาปลูกในกรุงเทพฯมักไม่ออกดอก 
3,Paphiopedilum  niveum,รองเท้านารีขาวสตูล,"มีการกระจายพันธุ์ในมาเลเซียและไทยซึ่งสูงจากระดับน้ำทะเลตั้งแต่ 200 เมตร
",มีการเจริญเติบโตแบบพืชอิงอาศัย,เจริญเป็นกลุ่ม มีพุ่มใบขนาด 15-18 ซม.,รูปรี กว้าง 2.5 - 3.5 ซม. ยาว 15 - 17 ซม. แผ่นใบหน้าเป็นลายตารางสี,เป็นดอกเดี่ยว มี 1 - 3 ดอกต่อช่อ ก้านดอกตั้งตรงสีม่วงแดงยาว 15 - 17 ซม. เมื่อดอกบานเต็มที่เป็นรูปกลมเส้นผ่าศูนย์กลางขนาด 6 - 8 ซม. กลีบหนางุ้มมาด้านหน้า กลีบนอกบน กลีบดอกและกระเป๋ามีสีขาว โคนกลีบมีจุดประสีม่วงเข้มเล็กน้อย โล่สีขาว รูปทรงคล้ายไต กึ่งกลางเป็นร่องและมีแต้มสีเหลืองเข้ม ,เมษายน - สิงหาคม,ปลูกเลี้ยงง่าย ชอบความชื้นสูงและออกดอกเมื่อต้นสมบูรณ์เต็มที่  
4,Paphiopedilum thaianum,รองเท้านารีขาวพังงา,พบตามธรรมชาติบนพื้นผิวภูเขาหินปูน ขึ้นอยู่ตามซอกหิน ในภาคใต้ของประเทศไทย พบในแถบจังหวัดพังงาเท่านั้น ในระดับความสูงจากระดับน้ำทะเลปานกลาง 350 - 450 ม.,มีการเจริญเติบโตแบบพืชอิงอาศัย,เจริญเป็นกลุ่ม มีพุ่มใบขนาด 15-18 ซม.,ใบค่อนข้างหนาและแข็ง รูปลิ้นแคบยาวหรือรูปไข่กลับ ยาว 3.5-9.5 ซม.กว้าง 1-2.4 ซม. ปลายใบมีรอยหยักสามง่ามขนาดเล็กมากและโค้งมนต่อขอบใบ ขอบใบใกล้โคนมีขน ใบด้านบนมีลายสีเขียวแก่สลับสีเขียวอ่อน ใต้ท้องใบสีม่วงคล้ำ,ดอกมีขนาดกว้างระหว่าง 3.3-4.2 ซม. รูปลักษณะมองจากด้านหน้าค่อนข้างกลมหรือรี ก้านช่อดอกตั้ง ยาวประมาณ 6-23 ซม. มีดอกที่ปลายช่อดอก อาจมีดอกได้ถึง 1-2 ดอกต่อหนึ่งช่อดอก กลีบกระเป๋าโป่งพอง มีจุดสีม่วงน้ำตาลขนาดใหญ่จำนวนหลายจุด บนกลีบกระเป๋าด้านใน โล่รูปไข่กลับ,เมษายน - พฤษภาคม,ปลูกเลี้ยงง่าย ชอบความชื้นสูงและออกดอกเมื่อต้นสมบูรณ์เต็มที่  
5,Paphiopedilum godefroyae,รองเท้านารีเหลืองตรัง หรือรองเท้านารีเหลืองพังงา,เป็นกล้วยไม้รองเท้านารีที่มีถิ่นกำเนิดในประเทศไทยเท่านั้น  โดยมีการกระจายพันธุ์ทางภาคใต้ ในบริเวณจังหวัดพังงา กระบี่ ที่สูงจากระดับน้ำทะเล 100 เมตร,มีการเจริญเติบโตแบบพืชอาศัยบนดินหรือตามซอกผาหิน,มีพุ่มใบขนาด 15-18 ซม.,รูปแถบถึงรูปขอบขนาน แผ่นใบเป็นลายหินอ่อน สีเขียวเข้มสลับเทา ใต้ใบมีจุประสีม่วงแดงหนาแน่น,เป็นดอกเดี่ยว ก้านดอกตั้งตรงสีม่วงแดงเรื่อ ยาว 10-12 ซม. และมีขนสั้นปกคลุม เมื่อดอกบานเต็มที่เป็นรูปกลม เส้นผ่าศูนย์กลาง 5-8 ซม. กลีบหนางุ้มมาด้านหน้า กลีบนอกบนและกลีบดอกมีสีขาวนวล มีแต้มสีม่วงแดงเข้มกระจายทั่ว กระเป๋ามีสีขาวนวลและมีจุดประสีม่วงแดงเล็กน้อย โล่สีขาวนวลและมีจุดประสีม่วงแดง รูปทรงคล้ายรูปไต กึ่งกลางมีแต้มสีเขียวหรือเหลือง ด้านบนหยักเป็นร่องเล็กน้อย ด้านล่างเป็นติ่งแหลม,เมษายน-สิงหาคม และ พฤศจิกายน-ธันวาคม,ชอบความชื้นในอากาศสูงและค่อนข้างร่ม ดอกจะบานได้นาน และระบบรากตอบสนองต่อปริมาณเกลือที่สะสมในเครื่องปลูกมาก
6,Paphiopedilum  parishii,"รองเท้านารีเมืองกาญจน์
รองเท้านารีหนวดฤๅษี
",มีการกระจายพันธุ์ในพม่าตะวันตกเฉียงใต้ของจีนและทางทิศตะวันตกของไทยแถบเทือกเขาตะนาวศรี ซึ่งสูงจากระดับน้ำทะเล 1250 - 2200 เมตร,มีการเจริญเติบโตแบบพืชอาศัยตามซอกหิน หรือพืชอิงอาศัย,เจริญเป็นกลุ่ม มีพุ่มใบขนาด 30 - 35 ซม. เกาะอาศัยอยู่ตามต้นไม้,รูปขอบขนาน กว้าง 4-5 ซม. ยาว 28 - 35 ซม.แผ่นใบสีเขียวเป็นมัน,ออกเป็นช่อ มี 4 - 8 ดอกต่อช่อ ก้านช่อดอกสีเขียว ยาว 30 - 40 ซม.และมีขนนุ่มปกคลุม เมื่อดอกบานเต็มที่กว้าง 10 - 12 ซม. สูง 13 -15 ซม. กลีบนอกบนมีสีขาวนวล โคนกลีบสีเขียวอ่อน กลีบดอกบิดเป็นเกลียว โคนกลีบสีเขียวอมเหลือง มีแต้มสีม่วงแดงกึ่งกลางกลีบและมีสีน้ำตาลแดงจนถึงปลายกลีบ ขอบกลีบย่นเป็นคลื่นขลิบสีเขียวอ่อนและมีขนยาวปกคลุม กระเป๋าสีเขียวอมน้ำตาลแดงเรื่อ โล่สีเหลืองอ่อน  รูปทรงคล้ายไข่ ขนาด 1-1.2 ซม. ผิวขรุขระสีเหลืองอ่อน กึ่งกลางสีเขียว,มิถุนายน - กรกฎาคม,ต้องการความชื้นในอากาศสูงและเจริญเติบโตได้ในที่มีแสงน้อย
7,Paphiopedilum villosum,"เอื้องไข่ไก่ เอื้องคางกบ เอื้องแมลงภู่   
เอื้องอินทนนท์
",มีการกระจายพันธุ์ในพม่า อินเดีย และในไทยจังหวัดเลย ชัยภูมิ และเชียงใหม่ ซึ่งสูงจากระดับน้ำทะเล 300 - 1600 เมตร,มีการเจริญเติบโตแบบพืชอาศัยตามซอกผาหินหรือพืชอิงอาศัย,มีพุ่มใบขนาด 30 ซม. เกาะอาศัยอยู่ตามต้นไม้,รูปขอบขนานหรือรูปแถบกว้าง 2.5 - 3.2 ซม. ยาว 25 - 3 5 ซม. ไม่มีลาย แผ่นใบหนาสีเขียว ,เป็นดอกเดี่ยว ก้านดอกสีเขียว มีจุดประสีม่วงแดง ยาว 18 - 24 ซม. และมีขนสั้นปกคลุม เมื่อดอกบานเต็มที่มีขนาด 6.5 - 9 ซม. กลีบนอกหนาเป็นมัน กลีบนอกโคนกลีบสีน้ำตาลอมแดง ถัดมาอาจเป็นสีเขียวอมเหลืองหรือม่วงแดงเรื่อและขลิบสีขาวตามขอบกลีบ ส่วนโคนกลีบดอกมีขนยาวสีน้ำตาล และเส้นสีน้ำตาลลากกึ่งกลางกลีบตามแนวยาวเป็นสองส่วน ส่วนบนสีม่วงแดงหรือน้ำตาลแดง ส่วนล่างมีสีเหลืองอมน้ำตาล และมีขนอ่อนปกคลุมโดยรอบ กระเป๋าสีม่วงแดงหรือน้ำตาลแดงเรื่อและมีเส้นร่างแหกระจายทั่ว โล่สีเหลือง รูปทรงคล้ายรูปหัวใจกลับ ขนาด 1-1.3 ซม. มีผิวขรุขระ กึ่งกลางมีตุ่มสีเหลืองเข้ม ด้านล่างหยักเป็นติ่งเล็กๆ,พฤศจิกายน - กุมภาพันธ์,ชอบอากาศเย็น ปลูกเลี้ยงและให้ดอกดก เครื่องปลูกควรโปร่งมีการระบายน้ำดี ถ้าปลูกในที่แสงรำไรดอกจะมีสีสด
8,Paphiopedilum charlesworthii,รองเท้านารีดอยตุง,มีการกระจายพันธุ์ในพม่าและไทย ซึ่งสูงจากระดับน้ำทะเล 1200 - 2000 เมตร,มีการเจริญเติบโตแบบพืชอาศัยบนดิน,มักเจริญเป็นกลุ่ม มีพุ่มใบขนาด 20 - 25 ซม.,รูปแถบ กว้าง 2.5 - 3 ซม. ยาว 15 - 20 ซม. แผ่นใบสีเขียวเข้มเป็นมัน โคนกาบใบมีจุดสีม่วงเข้ม,เป็นดอกเดี่ยว ก้านดอกตั้งตรงสีม่วงแดง ยาว 15 - 20 ซม. และมีขนสั้นๆปกคลุม เมื่อดอกบานเต็มที่มีขนาด 7 - 9 ซม. กลีบนอกบนมีสีชมพูเป็นมัน โคนกลีบมีสีม่วงเข้ม และเส้นร่างแหสีม่วงกระจายทั่ว กลีบดอกงุ้มมาด้านหน้า ขอบกลีบย่นเล็กน้อย มีสีเหลืองอมน้ำตาล และเส้นร่างแหสีน้ำตาลแน่นหนา กระเป๋าสีเหลืองอมน้ำตาลเป็นมัน รูปทรงเป็นรูปหัวใจกลับขนาด 0.8 - 1 ซม. กึ่งกลางมีติ่งสีเหลือง ด้านล่างหยักและมีติ่งแหลมเล็กน้อย,ตุลาคม – กุมภาพันธ์,ชอบความอากาศเย็น ปลูกเลี้ยงง่าย ถ้าปลูกในที่ร่มดอกจะบานได้หลายวัน
9,Paphiopedilum vejvarutianum,รองเท้านารีดอยตุงกาญจน์,พบขึ้นตามป่าสูง 500-700 เมตรจากระดับน้ำทะเลประเทศไทยพบที่อ.ทองผาภูมิจ.กาญจนบุรี,มีการเจริญเติบโตแบบพืชอาศัยบนดิน,มักเจริญเป็นกลุ่ม มีพุ่มใบขนาด 20 - 25 ซม.,รูปแถบใบกว้าง 1.5-2ซม.ยาว10-15ซม. ใบมีสีเขียวไม่มีลาย แต่อาจพบจุด หรือเส้นประสีม่วงแดงบนเส้นกลางใบหรือหลังใบ ใต้โคนใบอาจมีสีม่วงแดง,เป็นดอกเดี่ยว ก้านดอกตั้งตรงสีม่วงแดง ยาว 16 - 20 ซม. และมีขนสั้นๆปกคลุม เมื่อดอกบานเต็มที่มีขนาด 6.8 - 7.5 ซม. กลีบนอกบนมีสีขาวกับชมพูเป็นมัน โคนกลีบมีเขียวอมน้ำตาล และเส้นร่างแหสีม่วงแดงกระจายขึ้นมาคึ่งกลีบ กลีบดอกงุ้มมาด้านหน้า ขอบกลีบย่นเล็กน้อย มีสีเหลืองอมน้ำตาล และเส้นร่างแหน้ำตาลแน่นหนา  กระเป๋าสีเหลืองอมน้ำตาลเป็นมัน  รูปทรงเป็นรูปหัวใจกลับขนาด 0.8 - 1 ซม. กึ่งกลางมีติ่งสีเหลือง ด้านล่างหยักและมีติ่งแหลมเล็กน้อย,กรกฎาคม-ตุลาคม,ชอบความอากาศเย็น ปลูกเลี้ยงง่าย ถ้าปลูกในที่ร่มดอกจะบานได้หลายวัน
10,Paphiopedilum Exul,เหลืองกระบี่,มีการกระจายพันธุ์แถบชายฝั่งตะวันออกและตะวันตกทางภาคใต้ของไทย เช่น จังหวัดกระบี่ พังงา และภูเก็ต ซึ่งสูงจากระดับน้ำทะเล 50 เมตร,มีการเจริญเติบโตแบบพืชอาศัยบนดินหรือตามซอกผาหิน,มีพุ่มใบขนาด 30-35 ซม.,รูปแถบ กว้าง 3-35 ซม. ยาว 30-35 ซม. แผ่นใบหนาสีเขียวเป็นมัน ไม่มีลาย,เป็นดอกเดี่ยว  ก้านดอกสีเขียวยาว 30-35 ซม. และมีขนสั้นสีม่วงแดงปกคลุม เมื่อดอกบานเต็มที่มีขนาด 6-6.5 ซม. กลีบเป็นมันงุ้มมาด้านหน้า กลีบนอกบนมีสีขาว กึ่งกลางมีสีเหลืองอมเขียว และแต้มสีน้ำตาลเข้ม กลีบนอกล่างขนาดใกล้เคียงกับกลีบนอกบน แต่มีสีเขียว กลับดอกสีเหลืองอมน้ำตาล กึ่งกลางดอกมีเส้นสีน้ำตาลเรื่อ โคนกลีบมีแต้มและขนยาวสีน้ำตาลเข้มปกคลุม กระเป๋าสีเหลืองงอมน้ำตาล โล่สีเหลือง รูปทรงคล้ายหัวใจหรือไข่กลับ ผิวขรุขระ  กึ่งกลางมีติ่งเล็กๆสีเหลืองเข้ม ด้านบนหยักเป็นร่อง ด้านล่างหยักเป็นเขี้ยว  ,มีนาคม – มิถุนายน,ชอบความชื้นสูง  และแสงค่อนข้างมาก  เมื่อต้นสมบูรณ์จะให้ดอกและแตกหน่อได้ดี
11,"Paphiopedilum 
hirsutissimum
",รองเท้านารีเหลืองเลย,มีการกระจายพันธุ์ทางภาคตะวันออกเฉียง เหนือของจีน เวียดนาม และทางภาคเหนือและภาคตะวันออกเฉียง เหนือของไทย เช่น จังหวัดเพชรบูรณ์ เลย ซึ่งสูงจากระดับน้ำทะเล  1200-1800 เมตร,มีการเจริญเติบโตแบบพืชอาศัยบนดิน และพืชอิงอาศัย,มีพุ่มใบขนาด  28-32  ซม.,รูปแถบ กว้าง 2.5-3.2 ซม. ยาว 28-36 ซม. แผ่นใบหนาสีเขียวเป็นมัน,เป็นดอกเดี่ยว ก้านดอกตั้งตรงสีเขียว ยาว 17-25 ซม. และมีขนสีม่วงแดงปกคลุมจำนวนมาก เมื่อดอกบานเต็มที่มีขนาด 8-10 ซม. กลีบนอกบนมีสีเหลืองอมเขียวหรือสีเขียวอ่อน มีจุดสีน้ำตาลอมม่วงจำนวนมาก โคนกลีบสีเหลือง ปลายกลีบสีชมพู และบิดเล็กน้อย ขอบกลีบบนย่นเป็นคลื่นและมีขนสั้นปกคลุม กระเป๋ามีสีเหลืองและจุดประสีม่วงกระจายทั่ว โล่สีเหลือง และมีจุดสีน้ำตาลจำนวนมาก รูปทรงเป็นรูปสี่เหลี่ยม ขนาด 1 ซม. มีจุดสีขาว 3 จุด,ธันวาคม-มีนาคม,ชอบอากาศเย็น และจะออกดอกเมื่อต้นเป็นพุ่มใหญ่ ถ้านำมาปลูกในกรุงเทพมักไม่ออกดอก
12,Paphiopedilum appletonianum,รองเท้านารีคางกบคอแดง,มีการกระจายพันธ์ทางภาคตะวันออกของไทย ลาว กัมพูชา เวียดนาม และทางตอนเหนือของจีน ซึ่งสูงจากน้ำทะเล 600-2000 เมตร,มีการเจริญเติบโตแบบพืชอาศัยบนดิน,มีพุ่มใบขนาด 10-15 ซม.,เป็นรูปรีแกมรูปขอบขนานกว้าง 2.4-4 ซม. ยาว 7-23 ซม. แผ่นใบเป็นลายกินอ่อนสีเขียวคล้ำสลับเขียวอ่อน โคนกาบใบมีสีม่วงเรื่อๆ และมีขอบใบงุ้มลง ,เป็นดอกเดี่ยว ก้านดอกตั้งตรงสีม่วงยาว 17-60 ซม. มีขนสั้นปกคลุมเมื่อดอกบานเต็มที่มีขนาด 3.5-6.5 ซม. กลีบนอกบนงุ้มมาด้านหน้า มีสีเขียว โดนกลีบมีเส้นริ้วสีน้ำตาลแดงเรื่อ กลีบดอกอยู่ในแนวระนาบ โคนกลีบห่อเล็กน้อย มีสีเขียวขอบกลีบบนย่น และมีไฝสีน้ำตาลแดง 5-6 จุด กึ่งกลางปลายกลีบสีชมพู กระเป๋ามีสีน้ำตาลแดงเรื่อขลิบสีเขียวอมเหลือง โล่สีเหลืองอมเขียว รูปทรงคล้ายรูปไต ขนาด 0.8-1 ซม. กึ่งกลางมีสีเขียวเข้ม ด้านบนหยักเป็นร่อง ด้านล่างหยักเว้าเป็นเขี้ยว,มกราคม-มีนาคม,ชอบอากาศค่อนข้างเย็น  แข็งแรง และแตกหน่อได้ดี เมื่อกำลังออกดอกควรให้มีแสงรำไร จะช่วยให้สีดอกดูสดใสขึ้น
13,Paphiopedilum callosum,"รองเท้าคางกบ รองเท้านารีไทยแลนด์
รองเท้านารีแมลงภู่(ลำปาง) เอื้องคางคก เอื้องคางกบ(เชียงใหม่)
",มีการกระจายพันธุ์ในลาว เวียดนาม กัมพูชา ไทย และทางตะวันตกเฉียงเหนือของมาเลเซีย ซึ่งสูงจากระดับน้ำทะเล 700-950 เมตร,มีการเจริญเติบโตแบบพืชอาศัยบนดิน   ต้น มีพุ่มใบขนาด 18-20 ซม.,มีพุ่มใบขนาด 18-20 ซม.,เป็นรูปขอบขนานแกมรูปรี กว้าง 3-3.5 ซม. ยาว 15-18 ซม. แผ่นใบลายตารางสีเขียวเข็มสลับเขียวเทาหรือเป็นแต้มไม่ชัดเจนนัก กาบใบที่โคนต้นมีขนปกคลุมเล็กน้อย,เป็นดอกเดี่ยว มี 1-2 ดอกต่อต้น ก้านดอกตั้งตรงสีม่วงเข้ม ยาว 25-30 ซม. และมีขนปกคลุม เมื่อดอกบานเต็มที่มีขนาด 6-8 ซม. กลีบนอกบนบิดเล็กน้อย มีสีขาว และเส้นริ้วสีเขียวจำนวนมาก ปลายริ้วสีม่วง กลีบดอกชี้เป็นมุม 45 องศา กับแนวระนาบ มักบิดและห่อไปด้านหลัง โคนกลีบมีสีเขียวเรื่อ ขอบกลีบบนมีไฝสีน้ำตาลแดง 5-6จุดและมีขนยาวปกคลุม กระเป๋ามีสีม่วงแดงเรื่อ และเส้นร่างแหสีน้ำตาลแดง โล่สีขาวนวล รูปทรงคล้ายรูปเกือกม้า ขนาด 1 เซ็นกึ่งกลางมีแต้มสีน้ำตาลเข้ม ด้านบนหยักเล็กน้อยและงุ้มมาข้างหน้า ด้านล่างหยักเป็นเขี้ยว,กรกฏาคม - สิงหาคม,ชอบอากาศเย็น ปลูกเลี้ยงง่าย แตกหน่อเร็ว สามารถปลูกเป็นไม้กระถางในบ้าน
14,"Paphiopedilum 
sukhakulii
","รองเท้านารี
สุขะกูล
รองเท้านารีปีกแมลงปอ
",มีการกระจายพันธุ์ทางตะวันออกเฉียงเหนือของไทยที่ภูหลวง จังหวัดเลย ซึ่งสูงจากระดับน้ำทะเลกว่า 1000 เมตร,มีการเจริญเติบโตแบบพืชอาศัยบนดิน,มีพุ่มใบขนาด 15-18 ซม.,รูปรีแก้มขอบขนาน กว้าง 3-3.5 ซม. ยาว 12-15 ซม. แผ่นใบแข็งหยาบ เป็นลายหินอ่อนสีเขียวสลับเขียวเทา โคนกาบใบมีจุดสีม่วงแดงกระจายหนาแน่น,เป็นดอกเดี่ยว ก้านดอกตั้งตรงสีม่วงแดง ยาว 12-15 ซม. และมีขนสั้นปกคลุม เมื่อดอกบานเต็มที่มีขนาด 8-10 ซม. กลีบนอกบนมีสีขาวและเส้นริ้วสีเขียวจำนวนมาก กลีบดอกอยู่ในแนวระนาบมีสีเขียวอ่อน เส้นริ้วสีเขียวและแต้มสีม่วงแดงกระจายทั่วกลีบ ขอบกลีบมีขนยาวสีม่วงแดงปกคลุม กระเป๋าสีเขียว โล่สีขาวนวล รูปทรงคล้ายรูปเกือกม้า ขนาด 1-1.2 ซม. กึ่งกลางมีเส้นร่างแหสีเขียว ด้านล่างเป็นหยักเขี้ยว,กันยายน-ธันวาคม,ชอบอากาศเย็น และความชื้นในอากาศสูง เลี้ยงและให้ดอกยาก ปลูกเลี้ยงได้ดีในภาคอีสานตอนบน
